Date,Hour,Live Congestion Level [%],Average congestion level in 2019 [%],Average congestion level in 2018 [%],Weekday
2019-03-01,0:00,0,1,1,Fri
2019-03-01,1:00,0,0,0,Fri
2019-03-01,2:00,0,0,1,Fri
2019-03-01,3:00,0,0,0,Fri
2019-03-01,4:00,0,0,0,Fri
2019-03-01,5:00,0,0,0,Fri
2019-03-01,6:00,4,8,8,Fri
2019-03-01,7:00,25,28,28,Fri
2019-03-01,8:00,33,32,32,Fri
2019-03-01,9:00,30,19,19,Fri
2019-03-01,10:00,18,20,19,Fri
2019-03-01,11:00,18,24,22,Fri
2019-03-01,12:00,24,30,27,Fri
2019-03-01,13:00,24,28,25,Fri
2019-03-01,14:00,25,28,25,Fri
2019-03-01,15:00,33,39,35,Fri
2019-03-01,16:00,48,49,45,Fri
2019-03-01,17:00,49,36,34,Fri
2019-03-01,18:00,33,20,19,Fri
2019-03-01,19:00,21,14,13,Fri
2019-03-01,20:00,12,11,10,Fri
2019-03-01,21:00,8,10,9,Fri
2019-03-01,22:00,4,7,7,Fri
2019-03-01,23:00,2,4,3,Fri
2019-03-02,0:00,0,2,2,Sat
2019-03-02,1:00,0,0,1,Sat
2019-03-02,2:00,0,0,0,Sat
2019-03-02,3:00,0,0,0,Sat
2019-03-02,4:00,0,0,0,Sat
2019-03-02,5:00,0,0,0,Sat
2019-03-02,6:00,0,0,0,Sat
2019-03-02,7:00,0,1,2,Sat
2019-03-02,8:00,3,5,4,Sat
2019-03-02,9:00,8,10,9,Sat
2019-03-02,10:00,13,16,13,Sat
2019-03-02,11:00,19,20,16,Sat
2019-03-02,12:00,23,24,18,Sat
2019-03-02,13:00,24,24,19,Sat
2019-03-02,14:00,22,22,18,Sat
2019-03-02,15:00,18,22,18,Sat
2019-03-02,16:00,16,19,15,Sat
2019-03-02,17:00,13,17,14,Sat
2019-03-02,18:00,12,15,12,Sat
2019-03-02,19:00,10,11,9,Sat
2019-03-02,20:00,29,9,7,Sat
2019-03-02,21:00,30,8,7,Sat
2019-03-02,22:00,29,6,5,Sat
2019-03-02,23:00,28,4,3,Sat
2019-03-03,0:00,22,2,1,Sun
2019-03-03,1:00,12,0,0,Sun
2019-03-03,2:00,9,0,0,Sun
2019-03-03,3:00,8,0,0,Sun
2019-03-03,4:00,7,0,0,Sun
2019-03-03,5:00,7,0,0,Sun
2019-03-03,6:00,11,0,0,Sun
2019-03-03,7:00,12,0,0,Sun
2019-03-03,8:00,11,2,1,Sun
2019-03-03,9:00,13,6,4,Sun
2019-03-03,10:00,13,9,8,Sun
2019-03-03,11:00,11,13,10,Sun
2019-03-03,12:00,8,18,14,Sun
2019-03-03,13:00,11,19,15,Sun
2019-03-03,14:00,9,18,14,Sun
2019-03-03,15:00,10,16,13,Sun
2019-03-03,16:00,9,14,11,Sun
2019-03-03,17:00,8,12,9,Sun
2019-03-03,18:00,7,9,7,Sun
2019-03-03,19:00,8,7,6,Sun
2019-03-03,20:00,6,6,5,Sun
2019-03-03,21:00,5,5,4,Sun
2019-03-03,22:00,2,3,3,Sun
2019-03-03,23:00,1,2,1,Sun
2019-03-04,0:00,0,1,1,Mon
2019-03-04,1:00,0,0,1,Mon
2019-03-04,2:00,0,0,1,Mon
2019-03-04,3:00,0,0,0,Mon
2019-03-04,4:00,0,0,0,Mon
2019-03-04,5:00,0,0,0,Mon
2019-03-04,6:00,11,10,8,Mon
2019-03-04,7:00,41,36,34,Mon
2019-03-04,8:00,51,39,39,Mon
2019-03-04,9:00,44,19,17,Mon
2019-03-04,10:00,38,17,14,Mon
2019-03-04,11:00,48,19,16,Mon
2019-03-04,12:00,53,22,18,Mon
2019-03-04,13:00,48,20,17,Mon
2019-03-04,14:00,36,20,17,Mon
2019-03-04,15:00,31,31,26,Mon
2019-03-04,16:00,29,48,40,Mon
2019-03-04,17:00,26,37,31,Mon
2019-03-04,18:00,19,15,12,Mon
2019-03-04,19:00,19,11,9,Mon
2019-03-04,20:00,17,9,7,Mon
2019-03-04,21:00,13,7,5,Mon
2019-03-04,22:00,9,4,3,Mon
2019-03-04,23:00,7,2,1,Mon
2019-03-05,0:00,6,1,0,Tue
2019-03-05,1:00,4,0,1,Tue
2019-03-05,2:00,4,1,2,Tue
2019-03-05,3:00,3,0,3,Tue
2019-03-05,4:00,3,0,1,Tue
